,y,x,street_count,highway,ref
2495246858,48.3972233,9.9869433,5,crossing,
2495246886,48.3973593,9.9869459,4,crossing,
2495246893,48.3976382,9.9952247,5,crossing,
2495246912,48.3970033,9.985079,3,,
2495262332,48.3976393,9.9952917,3,,
2495262340,48.3970214,9.99162,3,,
2495262357,48.3973468,9.9885178,1,,
2495262367,48.3981503,9.9937035,3,,
2495262399,48.3988353,9.9931492,3,,
2495262423,48.3972598,9.9910638,3,,
2495262438,48.3976891,9.9901762,3,,
2495262456,48.397502,9.9894235,4,,
2495262468,48.3982823,9.9937032,3,,
2495262482,48.399051,9.9928281,3,,
2495262499,48.3972364,9.9928781,3,,
2495266874,48.3990347,9.9924384,3,,
2495267167,48.3998007,9.9914536,3,,
2495268524,48.3987063,9.9905861,1,,
2496115755,48.3970501,9.9889795,3,,
2496115772,48.3975174,9.9886905,3,,
2496115779,48.3975428,9.9888953,4,,
2496115784,48.3974486,9.9893384,4,,
2496115790,48.3976633,9.9890446,3,,
2496125591,48.3970532,9.9893603,3,,
2496125608,48.3978114,9.9884291,3,,
2496125614,48.3976548,9.9890771,3,,
2497871527,48.3976366,9.9950873,3,,
2497871529,48.3974262,9.9949458,3,,
2497871535,48.3976296,9.9949019,3,,
2497871546,48.3974544,9.9951364,3,,
2497871547,48.3971201,9.9904339,3,,
2499362427,48.3982413,9.9932298,1,,
2499963012,48.399629,9.9961668,3,,
2499963013,48.3993358,9.9966043,3,,
2499963028,48.3993932,9.9961288,3,,
2499963036,48.3992881,9.9961101,1,,
2503867953,48.3975796,9.9931048,4,,
2503867954,48.3975577,9.9936005,3,,
2503867955,48.3977876,9.9937027,3,,
2503867959,48.3976148,9.9937132,4,,
2503867960,48.3976065,9.9935968,4,,
2508153385,48.3995381,9.9872561,1,,
2508153391,48.3995537,9.9871591,3,,
2521649854,48.3972045,9.9880122,3,,
2521649858,48.3975126,9.9871979,3,,
2521676630,48.397369,9.9871666,4,crossing,
2523997059,48.399522,9.9902508,3,,
2526885684,48.3970586,9.9885045,3,,
2526885685,48.397229,9.9890242,3,,
2526885688,48.3972511,9.9916641,3,,
2526885694,48.3973965,9.9885319,3,,
2526885709,48.3977191,9.9888442,3,,
2526885715,48.3977828,9.9885579,3,,
2526961625,48.39721,9.9905873,3,,
2526961649,48.3975807,9.9905703,3,,
2526972573,48.3978334,9.9898788,3,,
2527010057,48.3976805,9.9952197,3,,
2527010058,48.3979725,9.9946305,1,,
2527010060,48.3980218,9.9953021,3,,
2527010064,48.3990583,9.9930545,3,,
2527054799,48.3993664,9.9881064,1,,
